"date","level"
2013-01-01,510
2013-01-02,461
2013-01-03,414
2013-01-04,378
2013-01-05,351
2013-01-06,330
2013-01-07,323
2013-01-08,322
2013-01-09,311
2013-01-10,296
2013-01-11,292
2013-01-12,286
2013-01-13,285
2013-01-14,275
2013-01-15,256
2013-01-16,243
2013-01-17,237
2013-01-18,228
2013-01-19,220
2013-01-20,211
2013-01-21,208
2013-01-22,203
2013-01-23,197
2013-01-24,192
2013-01-25,187
2013-01-26,182
2013-01-27,179
2013-01-28,173
2013-01-29,171
2013-01-30,216
2013-01-31,305
2013-02-01,371
2013-02-02,415
2013-02-03,477
2013-02-04,536
2013-02-05,554
2013-02-06,548
2013-02-07,532
2013-02-08,513
2013-02-09,478
2013-02-10,433
2013-02-11,391
2013-02-12,355
2013-02-13,327
2013-02-14,309
2013-02-15,294
2013-02-16,280
2013-02-17,273
2013-02-18,262
2013-02-19,255
2013-02-20,252
2013-02-21,244
2013-02-22,238
2013-02-23,228
2013-02-24,216
2013-02-25,208
2013-02-26,205
2013-02-27,200
2013-02-28,197
2013-03-01,195
2013-03-02,189
2013-03-03,186
2013-03-04,182
2013-03-05,178
2013-03-06,178
2013-03-07,181
2013-03-08,189
2013-03-09,203
2013-03-10,222
2013-03-11,238
2013-03-12,249
2013-03-13,255
2013-03-14,256
2013-03-15,247
2013-03-16,232
2013-03-17,222
2013-03-18,225
2013-03-19,232
2013-03-20,249
2013-03-21,270
2013-03-22,268
2013-03-23,253
2013-03-24,234
2013-03-25,219
2013-03-26,205
2013-03-27,197
2013-03-28,192
2013-03-29,184
2013-03-30,186
2013-03-31,197
2013-04-01,209
2013-04-02,220
2013-04-03,219
2013-04-04,209
2013-04-05,203
2013-04-06,197
2013-04-07,189
2013-04-08,179
2013-04-09,171
2013-04-10,169
2013-04-11,182
2013-04-12,220
2013-04-13,293
2013-04-14,352
2013-04-15,351
2013-04-16,322
2013-04-17,298
2013-04-18,286
2013-04-19,279
2013-04-20,273
2013-04-21,286
2013-04-22,323
2013-04-23,347
2013-04-24,340
2013-04-25,322
2013-04-26,305
2013-04-27,300
2013-04-28,315
2013-04-29,330
2013-04-30,327
2013-05-01,316
2013-05-02,304
2013-05-03,294
2013-05-04,297
2013-05-05,332
2013-05-06,343
2013-05-07,331
2013-05-08,335
2013-05-09,330
2013-05-10,319
2013-05-11,305
2013-05-12,307
2013-05-13,323
2013-05-14,322
2013-05-15,314
2013-05-16,305
2013-05-17,297
2013-05-18,286
2013-05-19,280
2013-05-20,311
2013-05-21,335
2013-05-22,319
2013-05-23,318
2013-05-24,328
2013-05-25,338
2013-05-26,336
2013-05-27,347
2013-05-28,360
2013-05-29,372
2013-05-30,385
2013-05-31,412
2013-06-01,490
2013-06-02,592
2013-06-03,678
2013-06-04,710
2013-06-05,713
2013-06-06,700
2013-06-07,656
2013-06-08,593
2013-06-09,527
2013-06-10,486
2013-06-11,460
2013-06-12,452
2013-06-13,458
2013-06-14,455
2013-06-15,430
2013-06-16,403
2013-06-17,381
2013-06-18,361
2013-06-19,348
2013-06-20,346
2013-06-21,355
2013-06-22,355
2013-06-23,348
2013-06-24,344
2013-06-25,339
2013-06-26,332
2013-06-27,331
2013-06-28,334
2013-06-29,327
2013-06-30,316
2013-07-01,304
2013-07-02,297
2013-07-03,285
2013-07-04,282
2013-07-05,285
2013-07-06,296
2013-07-07,298
2013-07-08,283
2013-07-09,265
2013-07-10,256
2013-07-11,250
2013-07-12,244
2013-07-13,240
2013-07-14,234
2013-07-15,226
2013-07-16,217
2013-07-17,209
2013-07-18,205
2013-07-19,200
2013-07-20,195
2013-07-21,194
2013-07-22,187
2013-07-23,182
2013-07-24,178
2013-07-25,181
2013-07-26,190
2013-07-27,187
2013-07-28,176
2013-07-29,179
2013-07-30,203
2013-07-31,249
2013-08-01,270
2013-08-02,249
2013-08-03,226
2013-08-04,206
2013-08-05,189
2013-08-06,179
2013-08-07,184
2013-08-08,184
2013-08-09,189
2013-08-10,190
2013-08-11,195
2013-08-12,197
2013-08-13,190
2013-08-14,182
2013-08-15,169
2013-08-16,158
2013-08-17,148
2013-08-18,139
2013-08-19,137
2013-08-20,135
2013-08-21,139
2013-08-22,134
2013-08-23,127
2013-08-24,121
2013-08-25,125
2013-08-26,154
2013-08-27,174
2013-08-28,163
2013-08-29,142
2013-08-30,142
2013-08-31,146
2013-09-01,139
2013-09-02,132
2013-09-03,125
2013-09-04,116
2013-09-05,110
2013-09-06,109
2013-09-07,108
2013-09-08,108
2013-09-09,116
2013-09-10,142
2013-09-11,158
2013-09-12,159
2013-09-13,173
2013-09-14,205
2013-09-15,209
2013-09-16,195
2013-09-17,184
2013-09-18,200
2013-09-19,253
2013-09-20,301
2013-09-21,324
2013-09-22,314
2013-09-23,280
2013-09-24,253
2013-09-25,237
2013-09-26,217
2013-09-27,202
2013-09-28,190
2013-09-29,184
2013-09-30,169
2013-10-01,159
2013-10-02,154
2013-10-03,151
2013-10-04,146
2013-10-05,148
2013-10-06,179
2013-10-07,197
2013-10-08,192
2013-10-09,179
2013-10-10,169
2013-10-11,179
2013-10-12,197
2013-10-13,217
2013-10-14,208
2013-10-15,200
2013-10-16,211
2013-10-17,265
2013-10-18,307
2013-10-19,298
2013-10-20,270
2013-10-21,253
2013-10-22,247
2013-10-23,243
2013-10-24,235
2013-10-25,220
2013-10-26,216
2013-10-27,223
2013-10-28,225
2013-10-29,229
2013-10-30,234
2013-10-31,237
2013-11-01,232
2013-11-02,222
2013-11-03,228
2013-11-04,240
2013-11-05,286
2013-11-06,316
2013-11-07,328
2013-11-08,360
2013-11-09,385
2013-11-10,382
2013-11-11,382
2013-11-12,405
2013-11-13,408
2013-11-14,395
2013-11-15,368
2013-11-16,336
2013-11-17,311
2013-11-18,280
2013-11-19,256
2013-11-20,255
2013-11-21,275
2013-11-22,286
2013-11-23,279
2013-11-24,270
2013-11-25,259
2013-11-26,262
2013-11-27,256
2013-11-28,238
2013-11-29,225
2013-11-30,216
2013-12-01,208
2013-12-02,206
2013-12-03,197
2013-12-04,187
2013-12-05,186
2013-12-06,182
2013-12-07,181
2013-12-08,179
2013-12-09,178
2013-12-10,173
2013-12-11,169
2013-12-12,164
2013-12-13,159
2013-12-14,161
2013-12-15,158
2013-12-16,154
2013-12-17,151
2013-12-18,146
2013-12-19,142
2013-12-20,142
2013-12-21,146
2013-12-22,154
2013-12-23,161
2013-12-24,158
2013-12-25,163
2013-12-26,189
2013-12-27,225
2013-12-28,314
2013-12-29,318
2013-12-30,303
2013-12-31,297
2014-01-01,282
2014-01-02,260
2014-01-03,250
2014-01-04,244
2014-01-05,244
2014-01-06,247
2014-01-07,263
2014-01-08,265
2014-01-09,253
2014-01-10,240
2014-01-11,235
2014-01-12,237
2014-01-13,229
2014-01-14,220
2014-01-15,217
2014-01-16,223
2014-01-17,228
2014-01-18,225
2014-01-19,235
2014-01-20,226
2014-01-21,214
2014-01-22,209
2014-01-23,209
2014-01-24,205
2014-01-25,206
2014-01-26,209
2014-01-27,214
2014-01-28,222
2014-01-29,231
2014-01-30,229
2014-01-31,213
2014-02-01,198
2014-02-02,190
2014-02-03,184
2014-02-04,182
2014-02-05,187
2014-02-06,189
2014-02-07,178
2014-02-08,174
2014-02-09,179
2014-02-10,192
2014-02-11,200
2014-02-12,205
2014-02-13,205
2014-02-14,231
2014-02-15,252
2014-02-16,272
2014-02-17,287
2014-02-18,305
2014-02-19,290
2014-02-20,270
2014-02-21,256
2014-02-22,244
2014-02-23,232
2014-02-24,222
2014-02-25,211
2014-02-26,203
2014-02-27,198
2014-02-28,198
2014-03-01,206
2014-03-02,209
2014-03-03,205
2014-03-04,192
2014-03-05,187
2014-03-06,184
2014-03-07,176
2014-03-08,169
2014-03-09,166
